DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,TYPE_CS,NO_TEL
,689000,CSS du Littoral,Centre de services scolaire du Littoral,"1581, boulevard Dr.-Camille-Marcoux",,98005,Blanc-Sablon,M,G0G1C0,Commission scolaire,Public,https://www.cssdulittoral.gouv.qc.ca,-57.129032,51.426661,Statut,418 962-5558
,711000,CSS des Monts-et-Marées,Centre de services scolaire des Monts-et-Marées,"93, avenue du Parc",,07047,Amqui,V,G5J2L8,Centre de services scolaire,Public,https://www.cssmm.gouv.qc.ca/,-67.437545,48.461335,Franco,418 566-2500
,712000,CSS des Phares,Centre de services scolaire des Phares,"435, avenue Rouleau",,10043,Rimouski,V,G5L8V4,Centre de services scolaire,Public,https://www.cssphares.gouv.qc.ca,-68.516786,48.436387,Franco,418 723-5927
,713000,CSS du Fleuve-et-des-Lacs,Centre de services scolaire du Fleuve-et-des-Lacs,"14, rue du Vieux-Chemin",,13073,Témiscouata-sur-le-Lac,V,G0L1E0,Centre de services scolaire,Public,https://cssfl.gouv.qc.ca/,-68.883083,47.682513,Franco,418 854-2370
,714000,CSS de Kamouraska-Rivière-du-Loup,Centre de services scolaire de Kamouraska-Rivière-du-Loup,"464, rue Lafontaine",,12072,Rivière-du-Loup,V,G5R3C2,Centre de services scolaire,Public,https://www.csskamloup.gouv.qc.ca,-69.532274,47.828753,Franco,418 862-8201
,721000,CSS du Pays-des-Bleuets,Centre de services scolaire du Pays-des-Bleuets,"828, boulevard Saint-Joseph",,91025,Roberval,V,G8H2L5,Centre de services scolaire,Public,https://csspb.gouv.qc.ca/,-72.220962,48.517541,Franco,418 275-2332
,722000,CSS du Lac-Saint-Jean,Centre de services scolaire du Lac-Saint-Jean,"350, boulevard Champlain Sud",,93042,Alma,V,G8B3N8,Centre de services scolaire,Public,https://csslsj.gouv.qc.ca/,-71.665361,48.548997,Franco,418 669-6000
,723000,CSS des Rives-du-Saguenay,Centre de services scolaire des Rives-du-Saguenay,"36, rue Jacques-Cartier Est",,94068,Saguenay,V,G7H1W2,Centre de services scolaire,Public,https://www.csrsaguenay.qc.ca,-71.067488,48.426427,Franco,418 698-5000
,724000,CSS De La Jonquière,Centre de services scolaire De La Jonquière,"3644, rue Saint-Jules",Jonquière,94068,Saguenay,V,G7X2K9,Centre de services scolaire,Public,https://cssdlj.gouv.qc.ca/,-71.234902,48.41786,Franco,418 542-7551
,731000,CSS de Charlevoix,Centre de services scolaire de Charlevoix,"100, rue Laure-Gaudreault",,15013,La Malbaie,V,G5A0A8,Centre de services scolaire,Public,https://www.csscharlevoix.gouv.qc.ca/,-70.156391,47.651921,Franco,418 665-3765
,732000,CSS de la Capitale,Centre de services scolaire de la Capitale,"1900, rue Côté",,23027,Québec,V,G1N3Y5,Centre de services scolaire,Public,https://cssc.gouv.qc.ca/,-71.288291,46.807362,Franco,418 686-4040
,733000,CSS des Découvreurs,Centre de services scolaire des Découvreurs,"100-945, avenue Wolfe",,23027,Québec,V,G1V4E2,Centre de services scolaire,Public,https://www.cssdd.gouv.qc.ca,-71.294371,46.77642,Franco,418 652-2121
,734000,CSS des Premières-Seigneuries,Centre de services scolaire des Premières-Seigneuries,"643, avenue du Cénacle",,23027,Québec,V,G1E1B3,Centre de services scolaire,Public,https://www.cssps.gouv.qc.ca,-71.191811,46.87344,Franco,418 666-4666
,735000,CSS de Portneuf,Centre de services scolaire de Portneuf,"310, rue de l'Église",,34025,Donnacona,V,G3M1Z8,Centre de services scolaire,Public,https://cssportneuf.gouv.qc.ca/,-71.72714,46.678968,Franco,418 285-2600
,741000,CSS du Chemin-du-Roy,Centre de services scolaire du Chemin-du-Roy,"1515, rue Sainte-Marguerite",,37067,Trois-Rivières,V,G9A5E7,Centre de services scolaire,Public,https://csscdr.gouv.qc.ca/,-72.557711,46.343006,Franco,819 379-5989
,742000,CSS de l'Énergie,Centre de services scolaire de l'Énergie,"2072, rue Gignac",case postale 580,36033,Shawinigan,V,G9N6V7,Centre de services scolaire,Public,https://cssenergie.gouv.qc.ca,-72.746185,46.56293,Franco,819 539-6971
,751000,CSS des Hauts-Cantons,Centre de services scolaire des Hauts-Cantons,"308, rue Palmer",,41060,East Angus,V,J0B1R0,Centre de services scolaire,Public,https://csshc.gouv.qc.ca/,-71.668396,45.47828,Franco,819 832-4953
,752000,CSS de la Région-de-Sherbrooke,Centre de services scolaire de la Région-de-Sherbrooke,"2955, boul. de l'Université",,43027,Sherbrooke,V,J1K2Y3,Centre de services scolaire,Public,https://cssrs.gouv.qc.ca/le-cssrs,-71.94897,45.380296,Franco,819 822-5540
,753000,CSS des Sommets,Centre de services scolaire des Sommets,"449, rue Percy",,45072,Magog,V,J1X1B5,Centre de services scolaire,Public,https://www.cssds.gouv.qc.ca/,-72.151357,45.274609,Franco,819 847-1610
,759000,CS crie,Commission scolaire crie,"203, rue Main",,99804,Mistissini,TC,G0W1C0,Commission scolaire,Public,https://eeyoueducation.ca/,-73.867027,50.416884,Statut,418 923-2764
,761000,CSS de la Pointe-de-l'Île,Centre de services scolaire de la Pointe-de-l'Île,"550, 53e Avenue",,66023,Montréal,V,H1A2T7,Centre de services scolaire,Public,https://www.csspi.gouv.qc.ca/,-73.494979,45.669997,Franco,514 642-9520
,762000,CSS de Montréal,Centre de services scolaire de Montréal,"5100, rue Sherbrooke Est, local 180",,66023,Montréal,V,H1V3R9,Centre de services scolaire,Public,https://www.cssdm.gouv.qc.ca,-73.552345,45.566749,Franco,514 596-6000
,763000,CSS Marguerite-Bourgeoys,Centre de services scolaire Marguerite-Bourgeoys,"1100, boul. de la Côte-Vertu",,66023,Montréal,V,H4L4V1,Centre de services scolaire,Public,https://www.cssmb.gouv.qc.ca/,-73.677481,45.517546,Franco,514 855-4500
,769000,CS Kativik,Commission scolaire Kativik,"9800, boul. Cavendish, suite 510",,66023,Montréal,V,H4M2V9,Commission scolaire,Public,https://www.kativik.qc.ca,-73.700683,45.494992,Statut,514 482-8220
,771000,CSS des Draveurs,Centre de services scolaire des Draveurs,"200, boulevard Maloney Est",,81017,Gatineau,V,J8P1K3,Centre de services scolaire,Public,https://www.cssd.gouv.qc.ca,-75.647796,45.483447,Franco,819 663-9221
,772000,CSS des Portages-de-l'Outaouais,Centre de services scolaire des Portages-de-l'Outaouais,"225, rue Saint-Rédempteur",,81017,Gatineau,V,J8X2T3,Centre de services scolaire,Public,https://www.csspo.gouv.qc.ca/,-75.722865,45.433938,Franco,819 771-4548
,773000,CSS au Coeur-des-Vallées,Centre de services scolaire au Coeur-des-Vallées,"582, rue Maclaren Est",,81017,Gatineau,V,J8L2W2,Centre de services scolaire,Public,https://www.csscv.gouv.qc.ca,-75.399549,45.588046,Franco,819 986-8511
,774000,CSS des Hauts-Bois-de-l'Outaouais,Centre de services scolaire des Hauts-Bois-de-l'Outaouais,"331, rue du Couvent",,83065,Maniwaki,V,J9E1H5,Centre de services scolaire,Public,https://www.csshbo.gouv.qc.ca/,-75.970124,46.379147,Franco,819 449-7866
,781000,CSS du Lac-Témiscamingue,Centre de services scolaire du Lac-Témiscamingue,"2, rue Maisonneuve",,85025,Ville-Marie,V,J9V1V4,Centre de services scolaire,Public,https://csslt.gouv.qc.ca/,-79.441175,47.328467,Franco,819 629-2472
,782000,CSS de Rouyn-Noranda,Centre de services scolaire de Rouyn-Noranda,"70, rue des Oblats Est",C.P. 908,86042,Rouyn-Noranda,V,J9X5C9,Centre de services scolaire,Public,https://cssrn.gouv.qc.ca/,-79.017322,48.230139,Franco,819 762-8161
,783000,CSS Harricana,Centre de services scolaire Harricana,"341, rue Principale Nord",,88057,Amos,V,J9T2L8,Centre de services scolaire,Public,https://www.cssh.gouv.qc.ca/,-78.117291,48.578359,Franco,819 732-6561
,784000,CSS de l'Or-et-des-Bois,Centre de services scolaire de l'Or-et-des-Bois,"799, boulevard Forest",,89008,Val-d'Or,V,J9P2L4,Centre de services scolaire,Public,https://www.cssob.gouv.qc.ca/,-77.789365,48.097237,Franco,819 825-4220
,785000,CSS du Lac-Abitibi,Centre de services scolaire du Lac-Abitibi,"500, rue Principale",,87090,La Sarre,V,J9Z2A2,Centre de services scolaire,Public,https://cssla.gouv.qc.ca/,-79.206904,48.796203,Franco,819 333-5411
,791000,CSS de l'Estuaire,Centre de services scolaire de l'Estuaire,"620, rue Jalbert",,96020,Baie-Comeau,V,G5C0B8,Centre de services scolaire,Public,https://www.cssestuaire.gouv.qc.ca,-68.255726,49.189083,Franco,418 589-0806
,792000,CSS du Fer,Centre de services scolaire du Fer,"30, rue Comeau",,97007,Sept-Îles,V,G4R4N2,Centre de services scolaire,Public,https://www.cssdufer.gouv.qc.ca,-66.367336,50.217801,Franco,418 968-9901
,793000,CSS de la Moyenne-Côte-Nord,Centre de services scolaire de la Moyenne-Côte-Nord,"1235, rue de la Digue",,98040,Havre-Saint-Pierre,M,G0G1P0,Centre de services scolaire,Public,https://www.csmcn.qc.ca,-63.597202,50.245081,Franco,418 538-3044
,801000,CSS de la Baie-James,Centre de services scolaire de la Baie-James,"596, 4e Rue",,99025,Chibougamau,V,G8P1S3,Centre de services scolaire,Public,https://cssbj.gouv.qc.ca/,-74.365163,49.912551,Franco,418 748-7621
,811000,CSS des Îles,Centre de services scolaire des Îles,"1419, chemin de l'Étang-du-Nord",L'Étang-du-Nord,01023,Les Îles-de-la-Madeleine,M,G4T3B9,Centre de services scolaire,Public,https://cssdesiles.gouv.qc.ca/,-61.915107,47.372054,Franco,418 986-5511
,812000,CSS des Chic-Chocs,Centre de services scolaire des Chic-Chocs,"102, rue Jacques-Cartier",,03005,Gaspé,V,G4X2S9,Centre de services scolaire,Public,https://www.csscc.gouv.qc.ca,-64.484051,48.832188,Franco,418 368-3499
,813000,CSS René-Lévesque,Centre de services scolaire René-Lévesque,"145, avenue Louisbourg",,05045,Bonaventure,V,G0C1E0,Centre de services scolaire,Public,https://www.cssrl.gouv.qc.ca,-65.486153,48.052006,Franco,418 534-3003
,821000,CSS de la Côte-du-Sud,Centre de services scolaire de la Côte-du-Sud,"157, rue Saint-Louis",,18050,Montmagny,V,G5V4N3,Centre de services scolaire,Public,https://csscotesud.gouv.qc.ca/,-70.553775,46.98108,Franco,418 248-1001
,822000,CSS des Appalaches,Centre de services scolaire des Appalaches,"650, rue Lapierre",,31084,Thetford Mines,V,G6G7P1,Centre de services scolaire,Public,https://www.cssa.gouv.qc.ca,-71.28681,46.088541,Franco,418 338-7800
,823000,CSS de la Beauce-Etchemin,Centre de services scolaire de la Beauce-Etchemin,"1925, 118e Rue",,29073,Saint-Georges,V,G5Y7R7,Centre de services scolaire,Public,https://cssbe.gouv.qc.ca/,-70.663875,46.127744,Franco,418 228-5541
,824000,CSS des Navigateurs,Centre de services scolaire des Navigateurs,"1860, 1re Rue",,25213,Lévis,V,G6W5M6,Centre de services scolaire,Public,https://cssdn.gouv.qc.ca/,-71.242598,46.748231,Franco,418 839-0500
,831000,CSS de Laval,Centre de services scolaire de Laval,"955, boul. Saint-Martin Ouest",,65005,Laval,V,H7S1M5,Centre de services scolaire,Public,https://csslaval.gouv.qc.ca,-73.719795,45.573346,Franco,450 662-7000
,841000,CSS des Affluents,Centre de services scolaire des Affluents,"80, rue Jean-Baptiste-Meilleur",,60013,Repentigny,V,J6A6C5,Centre de services scolaire,Public,https://cssda.gouv.qc.ca/,-73.438526,45.761509,Franco,450 492-9400
,842000,CSS des Samares,Centre de services scolaire des Samares,"4671, rue Principale",,62007,Saint-Félix-de-Valois,M,J0K2M0,Centre de services scolaire,Public,https://www.csssamares.gouv.qc.ca,-73.425162,46.16928,Franco,450 758-3500
,851000,CSS des Mille-Îles,Centre de services scolaire des Mille-Îles,"430, boulevard Arthur-Sauvé",,72005,Saint-Eustache,V,J7R6V6,Centre de services scolaire,Public,https://www.cssmi.qc.ca,-73.906544,45.565291,Franco,450 974-7000
,852000,CSS de la Rivière-du-Nord,Centre de services scolaire de la Rivière-du-Nord,"995, rue Labelle",,75017,Saint-Jérôme,V,J7Z5N7,Centre de services scolaire,Public,https://cssrdn.gouv.qc.ca/,-74.008333,45.793621,Franco,450 438-3131
,853000,CSS des Laurentides,Centre de services scolaire des Laurentides,"13, rue Saint-Antoine",,78032,Sainte-Agathe-des-Monts,V,J8C2C3,Centre de services scolaire,Public,https://csslaurentides.gouv.qc.ca/,-74.287125,46.048124,Franco,819 326-0333
,854000,CSS des Hautes-Laurentides,Centre de services scolaire des Hautes-Laurentides,"525, rue de la Madone",,79088,Mont-Laurier,V,J9L1S4,Centre de services scolaire,Public,https://www.csshl.gouv.qc.ca,-75.498136,46.552647,Franco,819 623-4310
