DT_MAJ_GDUNO,COMBINE_NUO_NUI,CD_ORGNS,NOM_COURT_ORGNS,NOM_OFFCL_ORGNS,ADRS_GEO_L1_GDUNO_ORGNS,ADRS_GEO_L2_GDUNO_ORGNS,CD_POSTL_GDUNO_ORGNS,CD_MUNCP_GDUNO_ORGNS,NOM_MUNCP_GDUNO_ORGNS,CD_IMM,NOM_IMM,ADRS_GEO_L1_GDUNO_IMM,ADRS_GEO_L2_GDUNO_IMM,CD_MUNCP_GDUNO_IMM,NOM_MUNCP_GDUNO_IMM,CD_POSTL_GDUNO_IMM,PRESC,PRIM,SEC,FORM_PRO,ADULTE,SITE_WEB_ORGNS,COORD_X_LL84_IMM,COORD_Y_LL84_IMM,ORDRE_ENS,CD_CS,TYPE_CS,STYLE_CART,NOM_MUNCP,NOM_MRC,NOM_REG_ADM,NOM_CEP,NOM_CS
,,689007,École Harrington,École Harrington,"4, allée Mary-Morency",Harrington Harbour,G0G1N0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689024,Harrington,Harrington Harbour,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G1N0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-harrington/,-59.480045,50.500075,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689008,École Mecatina,École Mecatina,"2, rue du Cove Sud",La Tabatière,G0G1T0,98014,Gros-Mécatina,689030,Mécatina,La Tabatière,,98014,Gros-Mécatina,G0G1T0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-mecatina/,-58.958296,50.829537,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Gros-Mécatina,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689009,École Kegaska,École Kegaska,"102, rue Jacques-Cartier",Kegaska,G0G1S0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689026,Kégaska,Kégaska,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G1S0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-kegaska/,-61.272521,50.189453,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689010,École Mountain Ridge,École Mountain Ridge,"503, boulevard Bonne-Espérance",Vieux-Fort,G0G2G0,98010,Bonne-Espérance,689065,Mountain Ridge,Vieux Fort,,98010,Bonne-Espérance,G0G2G0,1,1,0,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-mountain-ridge/,-57.817388,51.425895,Préscolaire - Primaire,689000,Statut,4_OrgImm_Statut_presc_prim,Bonne-Espérance,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689012,École Saint-Augustine,École Saint-Augustine,"107, rue de la Brunante",,G0G2R0,98012,Saint-Augustin,689031,Saint-Augustin,Saint-Augustin,,98012,Saint-Augustin,G0G2R0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-st-augustine/,-58.647863,51.226526,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Saint-Augustin,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689014,École Saint-Paul,École Saint-Paul,"2, Baylis West",Rivière Saint-Paul,G0G2P0,98010,Bonne-Espérance,689076,Saint-Paul,Rivière Saint-Paul,,98010,Bonne-Espérance,G0G2P0,0,0,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-st-paul/,-57.707295,51.475792,Secondaire,689000,Statut,3_OrgImm_Statut_secondaire,Bonne-Espérance,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689016,École Monseigneur-Scheffer,École Monseigneur-Scheffer,"20, rue Mgr-Scheffer",Lourdes-de-Blanc-Sablon,G0G1W0,98005,Blanc-Sablon,689028,Mgr Scheffer,Lourdes-de-Blanc-Sablon,,98005,Blanc-Sablon,G0G1W0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-mgr-scheffer/,-57.187334,51.413962,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Blanc-Sablon,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689017,École Saint-Joseph,École Saint-Joseph,"2, rue Savoy",Port-Menier,G0G2Y0,98020,L'Île-d'Anticosti,689039,Saint-Joseph,Port-Menier,,98020,L'Île-d'Anticosti,G0G2Y0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-st-joseph/,-64.350319,49.817589,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,L'Île-d'Anticosti,Minganie,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689018,École Gabriel-Dionne,École Gabriel-Dionne,"261, avenue de l'Église",Tête-à-la-Baleine,G0G2W0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689037,Gabriel Dionne,Tête-à-la-Baleine,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G2W0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-gabriel-dionne/,-59.323674,50.701539,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
,,689019,École Netagamiou,École Netagamiou,"61, chemin Netagamiou",Chevery,G0G1G0,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,689036,Nétagamiou,Chevery,,98015,Côte-Nord-du-Golfe-du-Saint-Laurent,G0G1G0,1,1,1,0,0,https://cssdulittoral.gouv.qc.ca/ecole/ecole-netagamiou/,-59.618785,50.467216,Préscolaire - Primaire - Secondaire,689000,Statut,5_OrgImm_Statut_presc_prim_sec,Côte-Nord-du-Golfe-du-Saint-Laurent,Le Golfe-du-Saint-Laurent,Côte-Nord,Duplessis,Centre de services scolaire du Littoral
