DT_MAJ_GDUNO,CD_ORGNS,NOM_COURT,NOM_OFFCL,ADRS_GEO_L1_GDUNO,ADRS_GEO_L2_GDUNO,CD_MUNCP,NOM_MUNCP,STAT_MUNCP,CD_POSTL_GDUNO,TYPE_ORGNS,RESEAU,SITE_WEB,COORD_X_LL84,COORD_Y_LL84,NO_TEL
,001500,Académie Antoine Manseau,Académie Antoine Manseau,"20, rue St-Charles Borromée S. C.P. 410",,61025,Joliette,V,J6E3Z9,Établissement d'enseignement privé,Privé,https://www.amanseau.qc.ca,-73.435399,46.026981,450 753-4271
,003500,L'Académie Beth Rivkah pour filles,L'Académie Beth Rivkah pour filles,"5001, rue Vézina ",,66023,Montréal,V,H3W1C2,Établissement d'enseignement privé,Privé,,-73.645685,45.494794,514 731-3681
,004500,Académie Chrétienne Rive Nord,Académie Chrétienne Rive Nord,"790, 18e Avenue",,65005,Laval,V,H7R4P3,Établissement d'enseignement privé,Privé,,-73.851856,45.558784,450 627-7070
,006500,Académie Francois-Labelle,Académie François-Labelle,"1227, rue Notre-Dame",,60013,Repentigny,V,J5Y3H2,Établissement d'enseignement privé,Privé,https://www.academiefrancoislabelle.qc.ca,-73.407859,45.778168,450 582-2020
,007500,Académie Ibn Sina,Académie Ibn Sina,"6500, 39e Avenue",,66023,Montréal,V,H1T2W8,Établissement d'enseignement privé,Privé,https://www.ibnsina.ca,-73.571898,45.572356,514 787-0065
,009500,Académie Kells,Académie Kells,"6865, boulevard De Maisonneuve Ouest",,66023,Montréal,V,H4B1T1,Établissement d'enseignement privé,Privé,https://www.kells.ca,-73.631285,45.459469,514 485-8565
,015500,Académie Kuper,Académie Kuper,"2, rue Aesop ",,66102,Kirkland,V,H9H5G5,Établissement d'enseignement privé,Privé,https://www.kuperacademy.ca,-73.838801,45.453169,514 426-3007
,016500,Académie Lafontaine,Académie Lafontaine inc.,"2171, boulevard Maurice",,75017,Saint-Jérôme,V,J7Y4M7,Établissement d'enseignement privé,Privé,https://www.academielafontaine.qc.ca,-74.007748,45.803638,450 431-3733
,017500,Collège Laurentien,Collège Laurentien,"1200, 14e Avenue",,78005,Val-Morin,M,J0T2R0,Établissement d'enseignement privé,Privé,https://www.collegelaurentien.ca,-74.19663,46.014743,819 322-2913
,019500,Académie Louis-Pasteur,Académie Louis-Pasteur,"7220, rue Marie-Victorin",,66023,Montréal,V,H1G2J5,Établissement d'enseignement privé,Privé,https://www.academielouispasteur.com,-73.603762,45.617824,514 322-6123
,024500,Académie Marie-Claire,Académie Marie-Claire,"18190, boulevard Elkas",,66102,Kirkland,V,H9J3Y4,Établissement d'enseignement privé,Privé,https://www.amcedu.ca,-73.8835,45.443188,514 697-9995
,025500,Académie Marie-Laurier,Académie Marie-Laurier,"1555, avenue Stravinski",,58007,Brossard,V,J4X2H5,Établissement d'enseignement privé,Privé,https://www.marielaurier.com,-73.492171,45.443764,450 923-2787
,026500,Académie Michèle-Provost,Académie Michèle-Provost,"1517, avenue Des Pins Ouest",,66023,Montréal,V,H3G1B3,Établissement d'enseignement privé,Privé,https://www.academiemicheleprovost.qc.ca,-73.586753,45.498457,514 934-0596
